symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Pcolce	56.038526985618354	0.028655840105529153	0.07862300126635367	0.16806044559748987	0.46838843241460343
Hnrnpa2b1	99286.50226950903	-0.02723104362150343	0.022829028165493488	0.16833596389203626	0.46838843241460343
Peli1	2408.638792525485	0.032180737046638375	0.03087729701792388	0.16831762859439206	0.46838843241460343
Fut11	659.8165323046928	-0.03380603249150772	0.04039389517602449	0.16833291940341036	0.46838843241460343
Tmem253	150.67875858752603	-0.030692670154697118	0.06986102514101021	0.16822826009019237	0.46838843241460343
Map4k3	93.79290104317494	0.03064257899994139	0.0701733179135314	0.16817033642869303	0.46838843241460343
Ndfip1	9230.115241483287	-0.0317514626735747	0.029843232544359305	0.1681839138387506	0.46838843241460343
Cenpc1	2480.595962845857	0.031811012499100774	0.030047295536188606	0.1686052320627219	0.4684210299952375
Rpap2	1454.5694135800386	-0.03331354648576793	0.03479573683618968	0.1685150319256034	0.4684210299952375
Cklf	393.41875465405167	0.033400151704602234	0.04721834914927738	0.16849789241998614	0.4684210299952375
Zbtb2	670.7611477565251	-0.033791090715325225	0.04037912702411404	0.16850385851624938	0.4684210299952375
Dnal1	162.11124898033006	0.03184013254444912	0.06181013251058886	0.1685940991508828	0.4684210299952375
Parl	1966.5969694940434	-0.031945681319510075	0.030348071815224177	0.1685485832374207	0.4684210299952375
Zbtb3	108.65647615743922	-0.03113324036712865	0.0669393849451218	0.1686315707982855	0.4684210299952375
Maz	14025.73715600443	-0.028866639337944713	0.024984037213505825	0.16869702879638918	0.4684901857653991
Cyp4f13	289.00933063471774	0.032624776392699416	0.05469971590646488	0.16875391648851307	0.46853551332748217
Ddx51	2501.4933015478214	-0.03229450026353257	0.03129089750088732	0.1689086032412791	0.4688522872955476
Tigd5	73.97470636248582	0.029899380220655816	0.07323225853801814	0.16922540381813994	0.4696187924314071
2610002M06Rik	903.5800656592345	-0.03360014560932215	0.037270416575301404	0.16926618845096275	0.4696191392285899
Nmd3	3388.7523454132424	-0.03279373445058932	0.03289976155761794	0.1693149384781755	0.4696415800727491
Uchl1	46.42064663426276	-0.027899249350744813	0.08052831216758347	0.16940773052797212	0.46978614348093106
Ythdc2	1655.98567739268	0.03323188480801512	0.03477400649866249	0.16947056783155137	0.46984758964340334
4930503L19Rik	2580.9020556855303	0.03207247371096858	0.030899937613874884	0.16985098468114693	0.4707892663948277
Cpne1	4168.657845899828	-0.029805029661900212	0.026506616420887006	0.16998580658280057	0.470823996650203
Zfp518b	233.29466612001193	-0.032525176818810383	0.05445875953461729	0.16997521853706993	0.470823996650203
Ccn6	90.23705012488445	0.030262807831090612	0.07107357808583684	0.16994814994534652	0.470823996650203
Gnptab	5684.806411741114	-0.02818784754003026	0.024183246691249622	0.17004847939160025	0.4708846648221009
Hipk3	4196.237148885197	-0.02959683799371135	0.026239185230048742	0.17051673565066153	0.47149365097262963
Cic	7142.934306850757	0.0327418441943186	0.0330725490534173	0.17059497553373326	0.47149365097262963
Fam207a	2800.025783595435	-0.03281506738402446	0.03329764661899331	0.17044077755565495	0.47149365097262963
Dhx40	1297.7973543713658	-0.03311674897266731	0.034586255659618634	0.17043648474977208	0.47149365097262963
Mrpl10	3115.295945485076	-0.031112372079552714	0.028853106600723422	0.17039485593090237	0.47149365097262963
Angel1	463.8383011510964	0.03343581090790113	0.04466989136954426	0.17037989026331488	0.47149365097262963
Dhx57	1233.8445623646	0.03345806769938516	0.036936069132686364	0.1705867555741085	0.47149365097262963
Ubxn1	4559.965419427772	-0.029773207216479754	0.026512079559143538	0.1704904302381059	0.47149365097262963
Ccdc77	1127.190304310487	0.033245466165976845	0.035381856433089734	0.17065738330417748	0.47155329597206935
Gm32249	539.264746454319	-0.03282429193427992	0.050899104896245356	0.1707269365714435	0.47163265185366476
Rab1b	3909.1252214168867	-0.030092769156805844	0.027064865887744812	0.17079909653176062	0.47171916904395866
Car13	80.3059488168277	0.029872218561531074	0.0724661289651555	0.17084936572557113	0.47174520060491193
Rpp40	472.6479011531384	0.03335668023271205	0.04503346343366367	0.17093955659715432	0.47188142416279455
Akt1s1	1188.1523230011271	-0.033264809100595503	0.0357175208201478	0.17107414984813393	0.4721401268210148
Nemp2	1368.854354453338	0.033453118518029415	0.03758210088710656	0.17133987909095483	0.47245244013282084
Dipk1b	193.6011535414495	-0.03201556302860299	0.05777028588788527	0.17139183758930904	0.47245244013282084
Fgfr1op2	3011.1988715428793	-0.03075572266382011	0.02830356678366619	0.17137148725358506	0.47245244013282084
Cep57l1	1072.6341972568973	-0.03333327891817424	0.0364095330883094	0.17138886580502985	0.47245244013282084
Tmbim6	15520.29105976818	-0.02778135696469084	0.02376162912610479	0.17134385007862643	0.47245244013282084
Atad3a	6362.875073671765	-0.030977370791415503	0.02874260310383245	0.17147478187863516	0.4724555655291594
Bbs4	343.6197586327166	0.03287151590697932	0.04976147502146704	0.17143979622486852	0.4724555655291594
Pmepa1	458.5745078192303	0.0324782970236778	0.05308278299949989	0.17189848627447415	0.4728334166397182
Gmeb1	1662.8570507019103	0.03277984833201662	0.03354637956857915	0.1717056545474453	0.4728334166397182
Sh2b2	111.74479905119945	0.03092057027291202	0.06592872353651306	0.17188304905701102	0.4728334166397182
Spcs2	7031.879375856551	-0.029603830898647533	0.026390167577809487	0.17181366011235594	0.4728334166397182
Eef1e1	3617.658787306833	-0.032619715359262134	0.03298226280221202	0.1718344201755643	0.4728334166397182
Zcchc24	76.15338894049864	0.02936962185062549	0.07416910407975073	0.17186174791005085	0.4728334166397182
Socs4	3621.3517234935152	0.03144694394185375	0.029751633736500537	0.17170164251238013	0.4728334166397182
Gm22249	43.816759141910254	0.027814305010447026	0.0797908238357703	0.17194219472403968	0.4728410354911091
Acat1	3407.482491210727	-0.030440066691131282	0.027809358173103774	0.1720022045916906	0.47289346894406725
Stac3	43.72751903451434	0.02663674191388222	0.08325936610200867	0.17216945618910784	0.47324065182869957
Klhl5	2365.420969657835	0.03203799351781516	0.03128764502306757	0.17224943254778702	0.47334783391076374
Gtf2e2	3204.761168987663	-0.03177213649339839	0.03061224797807616	0.1723029857419934	0.47338237043768405
Tubgcp3	3577.3421232218225	0.030407184625711722	0.0278076693223269	0.17245031761519447	0.4734212870755733
Dcps	2604.7690538602697	-0.03165870378845198	0.03036562399341414	0.17245885981441897	0.4734212870755733
Ahrr	174.2868836626149	-0.031663816864314576	0.059902631891418215	0.17238549755284685	0.4734212870755733
Gm46591	45.193311266650035	0.027370793826119635	0.08096884487375329	0.17248110614839934	0.4734212870755733
Zswim1	609.5846405341894	-0.03341653565456096	0.04131835653676442	0.17262503283528371	0.47359124210155035
Cnot1	14570.251818684163	-0.029654090781531275	0.026557889381973922	0.17261766148715077	0.47359124210155035
Atg101	947.5859141191752	-0.03333706875291566	0.0376874993415497	0.17283198130572783	0.47396033220794304
Drap1	2865.955670678134	-0.03140951711686817	0.029855817926157737	0.17284163803115637	0.47396033220794304
Espn	139.36521638539602	-0.03113177524432914	0.06358931280876752	0.1729909938045145	0.47414475046087856
Nsd1	9880.249916760598	0.03108738204519847	0.029186218045087538	0.17298771372848742	0.47414475046087856
Ubn1	4720.986342721748	-0.0291558000552534	0.02583224830779664	0.17305433166871215	0.47414827449743824
Gpatch11	831.1742421353244	0.03338079883217278	0.03896643349506645	0.1730743831412294	0.47414827449743824
Osbpl2	1120.7345174968705	0.033186614650872644	0.03637501984572258	0.17313532478244723	0.47417602177400175
Fis1	2205.804661655125	-0.03132932125228373	0.02973085655689065	0.17316661989980428	0.47417602177400175
Acsbg3	108.44967890785398	0.030465851232747598	0.06781978786387773	0.17329231001809767	0.4744077223771102
Bclaf1	13627.401112997275	-0.028597045725977	0.025044142057682975	0.17334323810362826	0.47443469196609156
Strn4	3926.4150018585224	-0.02908097486690007	0.02576407255880352	0.17348834951882422	0.47449453870291725
Mbnl2	1777.563452670184	0.032383879063468804	0.03259501997581118	0.17343224770321686	0.47449453870291725
Pak2	11006.974580251472	-0.02915143676169248	0.025867288941976572	0.1734604022210006	0.47449453870291725
Rbm19	2543.8567810046693	-0.032599690437665155	0.033401761499498195	0.17353789517971013	0.4745176821320199
Fus	17288.137179964287	0.026712059203790137	0.022618770284716795	0.1738282747537951	0.4750258918247558
Cacna1a	142.14658370459932	0.031054251335303446	0.06347998115797905	0.17384713807300803	0.4750258918247558
Mier2	1318.7254208697523	0.033096704485023075	0.036082794075859015	0.1737886558581564	0.4750258918247558
Oxnad1	1072.7096423987282	-0.03324891806333848	0.03776894091425053	0.17396745825078194	0.47512985168988686
Pex6	2102.5916159037515	-0.0320751017945239	0.03175103009647362	0.17393453129794914	0.47512985168988686
Atf5	262.66102622597265	-0.03229000428479485	0.052720099604611645	0.1741967803626626	0.4756436910611709
Klhl17	857.480121250625	0.03328694232931134	0.04046037044444195	0.17432971230077215	0.4758941567180143
Cep57	1353.3104391148495	-0.032882682111336804	0.03500978806905106	0.17438232147635838	0.4759252866379819
Atp1a1	23842.14714289036	-0.02599305825998401	0.02181391109563995	0.17452193458498985	0.47619379741474904
Mrps21	1273.880205071587	-0.032820254673948765	0.034754379517590944	0.1745757726795843	0.4762281942487479
Colgalt1	3007.8895973962353	-0.030987376730041295	0.02923558245439913	0.17468956781570488	0.47633848160669223
Csrnp1	1430.683144823106	-0.03306507175873103	0.036417265584194086	0.1746986846827661	0.47633848160669223
BC052040	592.367654033129	-0.033169401507864245	0.042569039151557964	0.17487024055736877	0.4766937168840239
Gen1	2039.1596210630037	0.03230881062923409	0.03276218054766627	0.17504805356591258	0.4770658373492898
Kcnq5	722.8564275404608	0.0332153358127888	0.039537039469232656	0.1751813999859076	0.47712759093439
Pnkd	597.4217706857889	0.03319460983904023	0.04131383283816321	0.17519464183140676	0.47712759093439
Zfp217	2369.7059340241262	0.03117450546239975	0.029707146113678674	0.17513291865042785	0.47712759093439
